Year,Quarter,Workplace,VacancyCount,Headline,MergedColumn
2022,3,Gävle,65,"['Jobba deltid på Partykungens lager i höst', 'Retail House söker Merchandiser extra personal!', 'Arbeta extra som montör på Atlas Copco', 'Marknadsundersökare under v. 32', 'Extrajobba som montör på Cibes Lift']",2022 3
2022,3,Göteborg,343,"['Extrajobb till lager i Göteborg', 'Extrajobb inom containerlossning', 'Gymnasiestudenter sökes som säljande lånehandläggare på deltid', 'Studenter för extrajobb Hisingen', 'Timvikarier till Bemanningsenheten Funktionsstöd Centrum']",2022 3
2022,3,Götene,5,['Lagerpersonal sökes till extrajobb på Semper i Götene '],2022 3
2022,3,Hallsberg,6,"['Terminalarbetare Hallsberg, Extrajobb']",2022 3
2022,3,Hallstahammar,5,['Extra personal (Betong industri)'],2022 3
2022,3,Halmstad,49,"['Långsiktigt extrajobb på Martin & Serveras lager - Halmstad', 'Intresseanmälan för extraarbete, Halmstad', 'Mister York Halmstad söker team member extra!', 'Arbetsledare till vår butik i Halmstad', 'Brevbärare Halmstad, Extrajobb']",2022 3
2022,3,Hammarö,2,"['Personlig assistent sökes till 7-årig flicka', 'Personlig assistent till 7-årig flicka']",2022 3
2022,3,Haninge,96,"['Lagermedarbetare - Jordbro - Heltid', 'Extrapersonal till Kicks lager i Jordbro', 'Lagermedarbetare - Jordbro - Heltid', 'Lagermedarbetare - Jordbro - Heltid', 'Flexibelt extrajobb som ekonomiassistent']",2022 3
2022,3,Hedemora,1,['Socialsekreterare till vuxenenheten'],2022 3
2022,3,Helsingborg,17,"['Växeltelefonist/Receptionist deltid', 'Butiksmedarbetare sökes till yrkesbutik i Helsingborg', 'Brevbärare Helsingborg, Extrajobb', 'Fitness24Seven i Helsingborg Söder söker Gymvärd']",2022 3
2022,3,Herrljunga,1,['Personlig assistent till kvinna i Herrljunga-Timvikarie.'],2022 3
2022,3,Huddinge,22,"['Sorteringspersonal - Lager - Huddinge', 'Jobba extra som lagermedarbetare hos Airmee i Farsta', 'Skåpbilschaufför Länna(Huddinge), Extrajobb', 'Jobba extra som lagermedarbetare hos Airmee i Farsta', 'Jobba extra som lagermedarbetare hos Airmee i Farsta']",2022 3
2022,3,Hudiksvall,32,"['Personliga assistenter till Söderhamn 39% tjänstegrad', 'Undersköterskor för timanställning, Hudiksvall', 'Relationsbyggande arbetsmarknadsskonsult på deltid']",2022 3
2022,3,Härnösand,1,['StudentConsulting söker studenter för extrajobb som jobbcoach!'],2022 3
2022,3,Härryda,16,"['Produktionspersonal till Linas Matkasse', 'DHL Express Landvetter söker Warehouse Agents på deltid', 'Produktionsmedarbetare sökes till Linas Matkasse i Mölnlycke']",2022 3
2022,3,Hässleholm,7,"['Brevbärare Hässleholm, Extrajobb', 'Extra personal sökes till industri i Markaryd', 'Flexibelt extrajobb på Dagabs lager i Hässleholm', 'Flexibelt extrajobb som orderplockare på Dagabs lager i Hässleholm', 'Långsiktigt extrajobb som orderplockare på Dagabs lager i Hässleholm']",2022 3
2022,3,Höör,4,"['Timvikarier till Höörs Waldorfskola', 'Arbetsledare - Höör']",2022 3
2022,3,Jokkmokk,1,['Distributör Jokkmokk'],2022 3
2022,3,Järfälla,200,"['Extrajobba på lager i Järfälla', 'Extrajobba på lager i Järfälla', 'Skåpbilschaufför Veddesta, Extrajobb', 'Jobba extra hos Airmee i Järfälla', 'Jobba extra hos Airmee i Järfälla']",2022 3
2022,3,Jönköping,87,"['Personlig assistent till schemarad, tjänstgöringsgrad ca 70%', 'Eventpersonal till Asecs i Jönköping!', 'Receptionist på deltid till kund i Jönköping', 'Receptionist på deltid till kund i Jönköping', 'Extrajobba som truckförare']",2022 3
2022,3,Kalix,1,['Extrapersonal sökes till vår butik i Kalix'],2022 3
2022,3,Kalmar,21,"['C-Chaufför extra dagtid', 'Team Member EXTRA - MISTER YORK Kalmar City', 'Brevbärare Kalmar, Extrajobb', 'Nu söker vi strukturerad extraarbetare med intresse för service', 'Personlig Assistent sökes till barn kund i Kalmar']",2022 3
2022,3,Karlskrona,2,"['Team Member Extrajobb', 'Extrajobb - Brand Merchandiser - Karlskrona']",2022 3
